progetto,proponente,procedura,info,doc,link_info,link_doc,stato_procedura,id,scadenza_osservazioni,avvio_istanza,province,comuni,regioni,tipologia
Progetto di un impianto eolico. costituito da 10 turbine aventi potenza complessiva pari a 72 MW pari a 72 MW. ubicato nei comuni di Torre di Ruggiero (CZ). Chiaravalle Centrale (CZ) e Petrizzi (CZ).,SKI W A1 S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9888,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9888/14573,Istruttoria tecnica CTPNRR-PNIEC,14573,2023-11-07,2023-06-05,Catanzaro,"Chiaravalle Centrale, Torre di Ruggiero",Calabria,Impianti eolici onshore
Piattaforma off-shore CALPURNIA,ENI S.p.A.,Autorizzazione (ex 104 d.lgs.152/2006) scarico a mare,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/10067,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10067/14825,-,14825,,2023-06-01,Ancona,Ancona,Marche,Coltivazione idrocarburi
Progetto per la realizzazione di un parco agrivoltaico per la produzione di energia elettrica da fonte rinnovabile da 40 MW. denominato LIBERTINIA 02. e delle relative opere di connessione alla rete RTN da realizzarsi nel Comune di Ramacca (CT) in località Pizzo Incaria.,ITS Turpino S.r.l.,Provvedimento Unico in materia Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9934,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9934/14631,Istruttoria tecnica CTPNRR-PNIEC,14631,2023-10-31,2023-06-01,Catania,Ramacca,Sicilia,Fotovoltaici
Progetto per la costruzione e l'esercizio di un impianto eolico composto da 5 aerogeneratori da 6.6 MW ciascuno per una potenza complessiva di 33 MW e di un sistema di accumulo elettrochimico da 18 MW sito nel Comune di Montalto di Castro (VT) e opere connesse nei Comuni di Montalto di Castro (VT) e Manciano (GR). Codice pratica MYTERNA n. 202200780,SKI 36 S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9881,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9881/14562,Istruttoria tecnica CTPNRR-PNIEC,14562,2024-03-13,2023-06-01,Viterbo,"Manciano, Montalto di Castro","Lazio, Toscana",Impianti eolici onshore
Progetto di un impianto agro-fotovoltaico denominato Bernalda 1. con potenza di picco pari a 14.1 MW e annesso sistema di accumulo di 5.1 MW. da realizzarsi nel Comune di Bernalda (MT). e delle relative opere di connessione ricadenti anche nel Comune di Montescaglioso (MT). Codice pratica MYTERNA n. 202202508.,Apollo Solar 1 S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9906,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9906/14598,Istruttoria tecnica CTPNRR-PNIEC,14598,2023-08-18,2023-05-31,Matera,"Montescaglioso, Bernalda",Basilicata,Fotovoltaici
Giochi Olimpici invernali Milano Cortina 2026. Lavori di allargamento in tratti saltuari della S.S. n° 38 dello Stelvio dal km 18+200 al km 68+300,Infrastrutture Milano Cortina 2026 SpA,Verifica di Assoggettabilità a VIA,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9878,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9878/14559,Conclusa,14559,2023-12-06,2023-05-31,Sondrio,"Berbenno di Valtellina, Forcola, Teglio, Buglio in Monte, Bianzone, Ardenno",Lombardia,Opere stradali
Progetto DEPOSITO COSTIERO DI LNG (Liquefied Natural Gas) NEL COMUNE DI CROTONE AREA INDUSTRIALE ex C.O.R.A.P.,IONIO FUEL SRL,Valutazione Impatto Ambientale,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9887,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9887/14572,Istruttoria tecnica CTPNRR-PNIEC,14572,2023-10-06,2023-05-31,Crotone,Crotone,Calabria,Impianti di rigassificazione
Progetto per la realizzazione di un impianto agrivoltaico di potenza pari a 29.52 MWp e relative opere connesse nel Comune di Viterbo (VT),Solarta s.r.l,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/10003,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10003/14738,Istruttoria tecnica CTPNRR-PNIEC,14738,2023-08-23,2023-05-31,Viterbo,Viterbo,Lazio,Fotovoltaici
Proroga del permesso di ricerca mineraria Cime,Vedra Metals S.r.l,Verifica di Assoggettabilità a VIA,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9880,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9880/14561,Conclusa,14561,2023-08-16,2023-05-31,Bergamo,Oltre il Colle,Lombardia,Attività minerarie
Modifiche introdotte sul progetto di fattibilità tecnica ed economica Nuova linea ferroviaria AV Salerno-Reggio Calabria. Lotto 1A Battipaglia-Romagnano e interconnessione con la linea storica Battipaglia-Potenza per il recepimento di prescrizioni derivanti dalla procedura di VIA e CdS. nonché per affinamenti progettuali.,R.F.I. Rete Ferroviaria Italiana S.p.A.,Valutazione preliminare,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9873,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9873/14549,Necessita di ulteriori valutazioni ambientali,14549,,2023-05-29,Salerno,"Contursi Terme, Campagna, Sicignano degli Alburni, Eboli, Battipaglia, Buccino, Palomonte",Campania,Opere ferroviarie
Progetto per la realizzazione di un impianto eolico costituito da 9 aerogeneratori. dei quali 2 con potenza nominale di 6.6 MW e 7 di potenza pari a 6.4 MW. per una potenza complessiva di 58 MW. da realizzarsi nei comuni di Taranto (TA). Faggiano (TA) e Lizzano (TA) in località Torrevecchia. con opere di connessione alla RTN ricadenti nei medesimi comuni (cod. MYTERNA n. 202102333).,Wind Energy Lizzano S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9891,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9891/14577,Istruttoria tecnica CTPNRR-PNIEC,14577,2023-08-10,2023-05-29,Taranto,"Lizzano, Taranto, Faggiano",Puglia,Impianti eolici onshore
Progetto per la realizzazione di un impianto agrifotovoltaico a terra connesso alla rete elettrica per vendita di energia di potenza pari a 41068.80 kWp su area sita in comune di Trecenta (RO) via Adolfo Azzi. SNC,AIEM GREEN S.R.L.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9876,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9876/14553,Istruttoria tecnica CTPNRR-PNIEC,14553,2023-09-13,2023-05-26,Rovigo,Trecenta,Veneto,Fotovoltaici
Porto di La Spezia - variante tecnica ex art. 24 C.N. - modifica della distribuzione dei pontili. dello specchio acqueo e dei locali accoglienza,ASSONAUTICA PROVINCIALE A.S.D. LA SPEZIA,Verifica di Assoggettabilità a VIA,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9869,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9869/14541,Conclusa,14541,2023-11-10,2023-05-26,La Spezia,La Spezia,Liguria,Opere portuali e vie navigabili
Progetto per la costruzione ed esercizio di un impianto agrivoltaico con fotovoltaico ad inseguitori monoassiali per la produzione di energia elettrica. comprensivo di impianto agricolo. sito nel comune di Carlino (UD). della potenza nominale massima di 18710 kW. alla tensione rete di 36 KV e delle relative opere di rete ricadenti nei Comuni di Carlino (UD) e San Giorgio di Nogaro (UD),Atlas Solar 5 s.r.l,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9875,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9875/14552,Verifica amministrativa,14552,,2023-05-26,Udine,"San Giorgio di Nogaro, Carlino",Friuli Venezia Giulia,Fotovoltaici
Progetto di un impianto agrivoltaico denominato Palastanga. della potenza di 38 MW e delle relative opere di connessione alla RTN. da realizzarsi nei comuni di di Monreale (PA). Corleone (PA). Piana degli Albanesi (PA). Santa Cristina Gela (PA) e Belmonte Mezzagno (PA).,Repower Renewable S.p.A.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9862,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9862/14528,Istruttoria tecnica CTPNRR-PNIEC,14528,2023-10-25,2023-05-26,Palermo,"Monreale, Belmonte Mezzagno, Corleone, Piana degli Albanesi, Santa Cristina Gela",Sicilia,Fotovoltaici
Autostrada A1 Milano-Napoli tratto Milano sud-Lodi. demolizione e ricostruzione Viadotto Lambro,Società Autostrade per l'Italia S.p.A.,Valutazione preliminare,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9877,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9877/14558,Non necessita di ulteriori valutazioni ambientali,14558,,2023-05-26,Milano,"Cerro al Lambro, Melegnano",Lombardia,Opere stradali
Raccordo aereo a 150 kV in doppia terna della linea Canino Arlena alla Stazione Elettrica Tuscania,Terna Rete Elettrica Nazionale S.p.A.,Verifica di Ottemperanza,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/1364,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/1364/14873,Conclusa,14873,,2023-05-26,Viterbo,"Tessennano, Tuscania",Lazio,Elettrodotti
Progetto di un impianto agrivoltaico. della potenza di 65.54 MW e delle relative opere di connessione alla RTN. sito nei comuni di Paceco (TP) e di Trapani.,TRAPANI PV S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9868,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9868/14536,Istruttoria tecnica CTPNRR-PNIEC,14536,2023-07-09,2023-05-26,Trapani,"Paceco, Trapani",Sicilia,Fotovoltaici
Progetto di un impianto eolico off-shore denominato Puglia 495MW. composto da 33 aerogeneratori di potenza unitaria pari a 15 MW. per una potenza totale d'impianto di 495 MW. da realizzarsi nel Mar Adriatico Meridionale. ad una distanza minima di circa 36 km dalla costa pugliese (cod. MYTERNA n. 202204099).,Inergia S.p.A.,Definizione contenuti SIA (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9890,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9890/14575,Istruttoria tecnica CTPNRR-PNIEC,14575,,2023-05-25,Barletta,"Barletta, Andria",Puglia,Impianti eolici offshore
Progetto di un impianto agrivoltaico. denominato Lagnano. della potenza complessiva di 41.28 MWp. e delle relative opere connesse. da realizzarsi nel Comune di Ascoli Satriano (FG).,Inergia Solare S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9856,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9856/14522,Istruttoria tecnica CTPNRR-PNIEC,14522,2023-08-16,2023-05-25,Foggia,"Ascoli Satriano, Cerignola, Stornara",Puglia,Fotovoltaici
Progetto di fattibilità tecnico economica della nuova fermata a servizio dell'area ASI di Salerno nell'ambito del prolungamento della linea ferroviaria convenzionale in ambito metropolitano c.d. Completamento Metropolitana di Salerno: Linea Ferroviaria Salerno - Pontecagnano. Intervento in PNRR - CUP: J44G19000010001,R.F.I. Rete Ferroviaria Italiana S.p.A.,Verifica di Assoggettabilità a VIA (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9855,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9855/14521,Conclusa,14521,2023-07-01,2023-05-25,Salerno,Salerno,Campania,Opere ferroviarie
Piattaforma off-shore BONACCIA,ENI S.p.A.,Autorizzazione (ex 104 d.lgs.152/2006) scarico a mare,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/10070,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10070/14828,-,14828,,2023-05-24,Ancona,Ancona,Emilia Romagna,Coltivazione idrocarburi
Piattaforma off-shore CALIPSO,ENI S.p.A.,Autorizzazione (ex 104 d.lgs.152/2006) scarico a mare,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/10071,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10071/14829,-,14829,,2023-05-24,Ancona,Ancona,Marche,Coltivazione idrocarburi
Progetto di un impianto agrivoltaico. della potenza di 25 MW e delle relative opere di connessione alla RTN. da realizzarsi nel comune di Brindisi (BR). in Località Masseria Restinco.,ACEA Solar S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9860,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9860/14526,Istruttoria tecnica CTPNRR-PNIEC,14526,2023-08-23,2023-05-24,Brindisi,Brindisi,Puglia,Fotovoltaici
Progetto di integrale ricostruzione del parco eolico Salemi Trapani. con dismissione degli attuali n.36 aerogeneratori e sostituzione degli stessi con n.18 aerogeneratori di potenza unitaria pari a 7.2 MW per una potenza complessiva pari a 129.6 MW. da realizzarsi nei Comuni di Salemi. Trapani. Misiliscemi e Marsala (TP).,Engie Rinnovabili S.p.A.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9857,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9857/14523,"Parere CTVIA emesso, in attesa parere MIBACT",14523,2023-12-21,2023-05-24,Trapani,"Marsala, Salemi, Trapani",Sicilia,Impianti eolici onshore
Progetto di un nuovo impianto agrivoltaico di 70 MW con storage 30 MW/120MWh sito nel comune di Guarda Veneta (RO) e relative opere connesse.,GUARDA VENETA SRL,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9853,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9853/14518,Istruttoria tecnica CTPNRR-PNIEC,14518,2023-10-03,2023-05-24,Rovigo,Guarda Veneta,Veneto,Fotovoltaici
