id,regioni,tipologia
15501,Sicilia,Impianti eolici onshore
15721,Basilicata,Fotovoltaici
15659,Marche,Opere stradali
15539,Molise,Impianti eolici onshore
15556,Lombardia,Centrali
15576,Puglia,Fotovoltaici
15602,Puglia,Fotovoltaici
15553,Sicilia,Fotovoltaici
15581,Lazio,Metanodotti
15581,Umbria,Metanodotti
15581,Marche,Metanodotti
15581,Abruzzo,Metanodotti
15496,Sicilia,Impianti eolici onshore
15570,Puglia,Fotovoltaici
15746,Basilicata,Fotovoltaici
15537,Umbria,Impianti geotermici
15503,Emilia Romagna,Fotovoltaici
15569,Puglia,Fotovoltaici
15785,Liguria,Opere portuali e vie navigabili
15517,Puglia,Impianti eolici onshore
15489,Lazio,Opere idrauliche
15480,Molise,Fotovoltaici
15488,Friuli Venezia Giulia,Fotovoltaici
15488,Veneto,Fotovoltaici
15577,Puglia,Fotovoltaici
15483,Sicilia,Fotovoltaici
15492,Sicilia,Impianti eolici onshore
15536,Marche,Impianti eolici onshore
15536,Toscana,Impianti eolici onshore
15544,Molise,Fotovoltaici
15504,Lazio,Fotovoltaici
15506,Sicilia,Impianti eolici onshore
15522,Basilicata,Impianti eolici onshore
15499,Emilia Romagna,Terminali marittimi
15461,Campania,Centrali
15510,Friuli Venezia Giulia,Fotovoltaici
15691,Puglia,Opere ferroviarie
15554,Marche,Opere ferroviarie
15674,Lombardia,Centrali
15550,Marche,Opere stradali
15558,Marche,Opere stradali
15557,Toscana,Opere stradali
15562,Puglia,Impianti eolici onshore
15543,Campania,Opere portuali e vie navigabili
15459,Basilicata,Impianti eolici onshore
15456,Sardegna,Fotovoltaici
15561,Sicilia,Fotovoltaici
15457,Puglia,Fotovoltaici
15507,Marche,Opere ferroviarie
15474,Lombardia,Opere stradali
15508,Lazio,Opere stradali
15447,Puglia,Impianti eolici onshore
15493,Puglia,Impianti eolici offshore
15455,Sicilia,Impianti eolici onshore
15473,Sardegna,Impianti eolici offshore
15497,Puglia,Impianti eolici onshore
15448,Basilicata,Fotovoltaici
15692,Umbria,Opere stradali
15571,Lombardia,Opere stradali
15450,Basilicata,Opere ferroviarie
15450,Puglia,Opere ferroviarie
15843,Lombardia,Centrali
15449,Sicilia,Opere ferroviarie
15471,Sardegna,Fotovoltaici
15735,Marche,Metanodotti
15511,Friuli Venezia Giulia,Fotovoltaici
15438,Puglia,Impianti eolici onshore
15462,Puglia,Impianti eolici onshore
15495,Molise,Elettrodotti
15502,Puglia,Impianti eolici onshore
15477,Basilicata,Fotovoltaici
15436,Puglia,Impianti eolici onshore
15452,Lazio,Fotovoltaici
15498,Lombardia,Opere stradali
15509,Friuli Venezia Giulia,Fotovoltaici
15472,Puglia,Opere ferroviarie
15541,Veneto,Fotovoltaici
15468,Calabria,Impianti eolici onshore
15446,Veneto,Fotovoltaici
15618,Campania,Opere portuali e vie navigabili
15429,Sardegna,Fotovoltaici
15466,Puglia,Opere ferroviarie
15466,Campania,Opere ferroviarie
15520,Umbria,Metanodotti
15520,Marche,Metanodotti
15463,Molise,Impianti eolici onshore
15465,Sicilia,Coltivazione idrocarburi
15494,Sicilia,Prospezione idrocarburi
15605,Emilia Romagna,Centrali
15485,Lombardia,Elettrodotti
15442,Calabria,Opere idrauliche
15460,Sicilia,Fotovoltaici
15419,Emilia Romagna,Fotovoltaici
15454,Emilia Romagna,Fotovoltaici
15458,Basilicata,Impianti eolici onshore
15714,Sicilia,Elettrodotti
15431,Liguria,Opere portuali e vie navigabili
15437,Sardegna,Fotovoltaici
15663,Puglia,Raffinerie
15405,Sardegna,Fotovoltaici
15416,Emilia Romagna,Fotovoltaici
15445,Basilicata,Opere ferroviarie
15445,Campania,Opere ferroviarie
15445,Calabria,Opere ferroviarie
15409,Puglia,Fotovoltaici
15444,Toscana,Impianti geotermici
15413,Basilicata,Fotovoltaici
15407,Campania,Impianti eolici onshore
15453,Emilia Romagna,Fotovoltaici
15441,Toscana,Fotovoltaici
15404,Lazio,Fotovoltaici
15408,Puglia,Fotovoltaici
15415,Puglia,Fotovoltaici
15417,Sardegna,Impianti eolici onshore
15420,Sicilia,Impianti eolici onshore
15406,Basilicata,Fotovoltaici
15430,Lazio,Elettrodotti
15538,Piemonte,Opere stradali
15410,Marche,Opere stradali
15411,Emilia Romagna,Opere stradali
15394,Sicilia,Fotovoltaici
15384,Umbria,Impianti eolici onshore
15422,Toscana,Opere stradali
15451,Liguria,Fotovoltaici
15451,Piemonte,Fotovoltaici
15386,Sicilia,Impianti eolici onshore
15390,Basilicata,Opere ferroviarie
15385,Sardegna,Impianti eolici onshore
15400,Sicilia,Opere ferroviarie
15395,Sicilia,Elettrodotti
15425,Toscana,Opere stradali
15414,Emilia Romagna,Opere portuali e vie navigabili
15469,Piemonte,Centrali
15398,Puglia,Fotovoltaici
15379,Sicilia,Impianti eolici onshore
15375,Sardegna,Impianti eolici onshore
15369,Abruzzo,Impianti eolici onshore
15427,Campania,Elettrodotti
15381,Lombardia,Opere stradali
15371,Puglia,Fotovoltaici
15372,Puglia,Fotovoltaici
15397,Campania,Opere ferroviarie
15383,Sardegna,Fotovoltaici
15396,Puglia,Fotovoltaici
